freq,int_h2o,int_doh,int_d2o
6025.4000,0.0001,0.0000,0.0001
6030.0000,0.0004,0.0003,0.0002
6044.9333,0.0001,0.0001,0.0001
6082.1000,0.0001,0.0000,0.0000
6093.7500,0.0003,0.0003,0.0002
6116.7417,0.0001,0.0000,0.0000
6129.7583,0.0001,0.0001,0.0001
6132.8000,0.0001,0.0000,0.0000
6135.0000,0.0001,0.0001,0.0000
6140.0000,0.0020,0.0018,0.0013
6142.5917,0.0001,0.0000,0.0000
6155.3250,0.0001,0.0001,0.0000
6155.3333,0.0001,0.0001,0.0000
6164.7750,0.0003,0.0001,0.0002
6167.3167,0.0002,0.0001,0.0001
6175.0000,0.0005,0.0001,0.0004
6180.0000,0.0004,0.0002,0.0003
6187.4083,0.0000,0.0000,0.0000
6187.5667,0.0000,0.0000,0.0000
6200.0000,0.0030,0.0024,0.0009
6220.0000,0.0007,0.0003,0.0002
6225.0000,0.0002,0.0001,0.0002
6230.0000,0.0002,0.0002,0.0002
6230.6583,0.0013,0.0007,0.0004
6230.6750,0.0013,0.0007,0.0004
6240.2250,0.0001,0.0000,0.0000
6240.2417,0.0001,0.0000,0.0000
6245.0083,0.0001,0.0000,0.0000
6249.6417,0.0001,0.0000,0.0000
6250.7917,0.0000,0.0000,0.0000
6250.9417,0.0000,0.0000,0.0000
6275.0000,0.0001,0.0000,0.0001
6285.0000,0.0000,0.0000,0.0000
6289.0667,0.0001,0.0000,0.0000
6289.0750,0.0001,0.0000,0.0000
6290.0000,0.0001,0.0001,0.0000
6315.4167,0.0010,0.0004,0.0004
6320.0000,0.0006,0.0003,0.0003
6330.0000,0.0002,0.0001,0.0001
6332.6833,0.0001,0.0001,0.0001
6335.2250,0.0001,0.0001,0.0001
6337.9000,0.0001,0.0001,0.0001
6344.6667,0.0004,0.0002,0.0001
6347.6667,0.0001,0.0001,0.0001
6347.6750,0.0001,0.0001,0.0001
6349.8333,0.0001,0.0001,0.0001
6350.6167,0.0000,0.0000,0.0000
6356.7417,0.0002,0.0000,0.0000
6360.0000,0.0003,0.0001,0.0001
6363.9083,0.0018,0.0011,0.0005
6367.2083,0.0069,0.0045,0.0043
6370.2000,0.0003,0.0001,0.0000
6379.2333,0.0004,0.0002,0.0001
6380.0000,0.0009,0.0008,0.0006
6386.7250,0.0001,0.0001,0.0001
6394.6417,0.0002,0.0000,0.0000
6396.3500,0.0000,0.0000,0.0000
6399.4667,0.0004,0.0001,0.0000
6403.5083,0.0019,0.0003,0.0003
6405.0000,0.0001,0.0001,0.0001
6406.2583,0.0001,0.0001,0.0001
6417.9000,0.0001,0.0000,0.0000
6435.5583,0.0002,0.0001,0.0001
6441.7167,0.0002,0.0000,0.0000
6445.3167,0.0007,0.0005,0.0004
6451.0333,0.0003,0.0000,0.0000
6470.5833,0.0002,0.0001,0.0001
6475.0000,0.0003,0.0002,0.0002
6477.1000,0.0001,0.0000,0.0000
6480.0000,0.0017,0.0014,0.0012
6480.4917,0.0001,0.0000,0.0000
6484.3750,0.0001,0.0001,0.0001
6493.9750,0.0004,0.0001,0.0001
6494.5917,0.0004,0.0001,0.0001
6497.7917,0.0001,0.0000,0.0000
6500.0000,0.0018,0.0006,0.0013
6504.5583,0.0003,0.0002,0.0001
6506.2250,0.0001,0.0000,0.0000
6506.2667,0.0001,0.0000,0.0000
6506.9167,0.0004,0.0001,0.0001
6510.0000,0.0006,0.0004,0.0004
6510.4250,0.0011,0.0005,0.0004
6510.8500,0.0003,0.0000,0.0000
6520.0000,0.0031,0.0027,0.0022
6524.0167,0.0001,0.0001,0.0001
6528.0417,0.0004,0.0001,0.0000
6529.7167,0.0000,0.0000,0.0000
6540.0000,0.0023,0.0021,0.0016
6547.8750,0.0005,0.0002,0.0002
6550.0000,0.0015,0.0013,0.0005
6552.7250,0.0000,0.0000,0.0000
6552.7333,0.0000,0.0000,0.0000
6555.9167,0.0002,0.0000,0.0000
6564.2167,0.0003,0.0001,0.0001
6564.3333,0.0002,0.0001,0.0001
6570.0000,0.0006,0.0003,0.0002
6571.5167,0.0001,0.0000,0.0000
6580.0000,0.0026,0.0023,0.0018
6582.0250,0.0000,0.0000,0.0000
6582.0333,0.0000,0.0000,0.0000
6604.9750,0.0001,0.0001,0.0000
6620.0000,0.0024,0.0021,0.0016
6620.6167,0.0002,0.0001,0.0001
6620.6250,0.0002,0.0001,0.0001
6640.6250,0.0005,0.0004,0.0003
6645.0000,0.0001,0.0000,0.0000
6668.3500,0.0001,0.0000,0.0000
6675.0000,0.0018,0.0014,0.0012
6679.6667,0.0001,0.0000,0.0000
6679.6833,0.0001,0.0000,0.0000
6680.0000,0.0041,0.0034,0.0024
6700.0000,0.0039,0.0032,0.0028
6716.1667,0.0001,0.0000,0.0000
6716.1750,0.0001,0.0000,0.0000
6718.7500,0.0001,0.0001,0.0000
6725.0000,0.0006,0.0002,0.0002
6731.9583,0.0002,0.0001,0.0000
6735.0083,0.0003,0.0001,0.0000
6735.8667,0.0001,0.0000,0.0000
6738.7417,0.0003,0.0001,0.0001
6739.4750,0.0004,0.0001,0.0001
6743.6667,0.0005,0.0003,0.0001
6743.6750,0.0005,0.0003,0.0001
6748.8750,0.0007,0.0003,0.0003
6749.9917,0.0015,0.0012,0.0010
6760.0000,0.0028,0.0025,0.0021
6770.0000,0.0003,0.0003,0.0003
6771.6083,0.0003,0.0001,0.0000
6775.0000,0.0005,0.0000,0.0002
6780.0000,0.0027,0.0022,0.0018
6783.2167,0.0002,0.0000,0.0000
6783.2583,0.0001,0.0000,0.0000
6790.0000,0.0003,0.0002,0.0001
6798.0833,0.0002,0.0001,0.0000
6809.7500,0.0002,0.0001,0.0000
6810.0000,0.0002,0.0001,0.0001
6820.0000,0.0012,0.0006,0.0007
6823.6333,0.0007,0.0002,0.0001
6825.0000,0.0003,0.0002,0.0000
6830.0000,0.0002,0.0001,0.0001
6835.7167,0.0001,0.0000,0.0000
6835.7250,0.0001,0.0000,0.0000
6835.9333,0.0019,0.0015,0.0015
6840.0000,0.0006,0.0005,0.0005
6841.2667,0.0003,0.0000,0.0000
6842.9167,0.0002,0.0000,0.0000
6854.9417,0.0006,0.0003,0.0004
6858.5750,0.0001,0.0001,0.0000
6858.6417,0.0001,0.0000,0.0000
6860.0000,0.0008,0.0005,0.0005
6862.3417,0.0007,0.0001,0.0001
6865.0000,0.0001,0.0001,0.0001
6870.6667,0.0001,0.0000,0.0000
6870.6750,0.0001,0.0000,0.0000
6879.7750,0.0000,0.0000,0.0000
6880.0000,0.0014,0.0009,0.0010
6893.0167,0.0000,0.0000,0.0000
6893.0333,0.0000,0.0000,0.0000
6899.0333,0.0001,0.0001,0.0001
6899.7333,0.0001,0.0000,0.0001
6899.8167,0.0002,0.0001,0.0001
6899.8667,0.0002,0.0001,0.0001
6907.2083,0.0000,0.0000,0.0000
6909.7833,0.0003,0.0001,0.0001
6910.2917,0.0001,0.0001,0.0000
6919.1167,0.0001,0.0001,0.0000
6919.1250,0.0001,0.0001,0.0000
6919.2417,0.0001,0.0000,0.0000
6920.0000,0.0023,0.0016,0.0017
6938.3250,0.0001,0.0000,0.0000
6938.3500,0.0001,0.0000,0.0000
6940.0000,0.0015,0.0008,0.0010
6943.2583,0.0002,0.0000,0.0000
6945.0250,0.0000,0.0000,0.0000
6946.1750,0.0009,0.0001,0.0001
6947.3583,0.0003,0.0000,0.0000
6950.0000,0.0041,0.0026,0.0037
6953.1250,0.0001,0.0001,0.0000
6957.5583,0.0003,0.0000,0.0000
6960.0000,0.0015,0.0008,0.0009
6969.6167,0.0004,0.0002,0.0002
6971.4667,0.0001,0.0000,0.0000
6971.4833,0.0001,0.0000,0.0000
6976.1167,0.0005,0.0001,0.0000
6976.1250,0.0005,0.0001,0.0000
6976.4167,0.0006,0.0003,0.0000
6980.0000,0.0010,0.0006,0.0008
6990.0083,0.0002,0.0001,0.0001
7000.0000,0.0015,0.0010,0.0007
7010.0000,0.0002,0.0001,0.0001
7011.4167,0.0004,0.0001,0.0001
7012.2000,0.0002,0.0001,0.0001
7013.9083,0.0002,0.0001,0.0000
7014.6250,0.0003,0.0001,0.0001
7020.0083,0.0007,0.0003,0.0003
7020.8917,0.0002,0.0001,0.0001
7025.1333,0.0001,0.0000,0.0000
7030.0000,0.0003,0.0002,0.0003
7031.2500,0.0016,0.0010,0.0011
7045.6667,0.0002,0.0001,0.0001
7045.6750,0.0002,0.0001,0.0001
7060.0000,0.0005,0.0002,0.0003
7070.0000,0.0002,0.0001,0.0001
7073.7750,0.0002,0.0000,0.0000
7075.0000,0.0002,0.0002,0.0002
7080.0000,0.0006,0.0003,0.0004
7090.0000,0.0002,0.0001,0.0002
7090.8667,0.0002,0.0000,0.0000
7091.6167,0.0001,0.0000,0.0000
7094.9917,0.0001,0.0001,0.0001
7095.6167,0.0006,0.0001,0.0001
7095.6250,0.0006,0.0001,0.0001
7097.3000,0.0011,0.0003,0.0003
7105.3833,0.0004,0.0000,0.0000
7109.3750,0.0002,0.0001,0.0002
7110.0000,0.0003,0.0001,0.0002
7120.0000,0.0013,0.0005,0.0008
7122.5750,0.0005,0.0001,0.0001
7126.3250,0.0002,0.0001,0.0001
7126.3417,0.0002,0.0001,0.0001
7130.0000,0.0002,0.0001,0.0002
7135.0083,0.0001,0.0000,0.0000
7135.0333,0.0001,0.0000,0.0000
7140.0000,0.0013,0.0006,0.0009
7145.6333,0.0001,0.0001,0.0001
7156.7417,0.0000,0.0000,0.0000
7160.0000,0.0015,0.0007,0.0010
7160.1667,0.0001,0.0000,0.0000
7160.1750,0.0001,0.0000,0.0000
7163.2917,0.0002,0.0000,0.0000
7165.0000,0.0001,0.0000,0.0000
7165.0333,0.0000,0.0000,0.0000
7169.5167,0.0001,0.0000,0.0000
7175.0000,0.0004,0.0001,0.0002
7177.7250,0.0000,0.0000,0.0000
7180.0000,0.0022,0.0010,0.0014
7187.2667,0.0001,0.0000,0.0000
7187.3167,0.0001,0.0000,0.0000
7188.0083,0.0080,0.0031,0.0026
7190.0000,0.0003,0.0001,0.0001
7198.7833,0.0021,0.0006,0.0005
7200.0000,0.0024,0.0010,0.0023
7205.0083,0.0001,0.0000,0.0001
7210.2833,0.0018,0.0004,0.0003
7211.8500,0.0001,0.0000,0.0000
7220.0000,0.0023,0.0010,0.0016
7221.0250,0.0001,0.0000,0.0000
7221.0333,0.0001,0.0000,0.0000
7225.0000,0.0004,0.0003,0.0000
7226.5583,0.0003,0.0002,0.0003
7240.0000,0.0023,0.0009,0.0017
7245.0083,0.0001,0.0001,0.0000
7255.0000,0.0001,0.0000,0.0000
7260.0000,0.0027,0.0009,0.0018
7265.0083,0.0001,0.0000,0.0000
7265.6250,0.0001,0.0000,0.0001
7269.0083,0.0139,0.0080,0.0067
