freq,int_so2,int_water,int_deu
2124.0234,0.0000,0.0000,0.0000
3124.6662,0.0000,0.0000,0.0000
3124.7616,0.0000,0.0000,0.0000
3124.8450,0.0001,0.0001,0.0001
3125.1550,0.0001,0.0001,0.0001
3125.2384,0.0000,0.0000,0.0000
3125.2861,0.0000,0.0000,0.0000
3125.5364,0.0000,0.0000,0.0000
3241.9324,0.0001,0.0001,0.0001
3688.0136,0.0001,0.0001,0.0001
3688.0374,0.0001,0.0001,0.0001
3703.6061,0.0000,0.0000,0.0000
3730.8931,0.0000,0.0000,0.0000
4034.0781,0.0000,0.0000,0.0000
4140.8777,0.0000,0.0000,0.0000
4174.0775,0.0000,0.0000,0.0000
4233.1934,0.0006,0.0006,0.0005
4237.2227,0.0000,0.0000,0.0000
4237.2346,0.0000,0.0000,0.0000
4248.7979,0.0001,0.0001,0.0001
4375.0048,0.0001,0.0001,0.0001
4412.3650,0.0000,0.0000,0.0000
4449.3437,0.0001,0.0000,0.0000
4473.1855,0.0010,0.0010,0.0009
4928.1716,0.0001,0.0002,0.0002
5092.2275,0.0000,0.0000,0.0000
5413.0077,0.0001,0.0001,0.0001
5489.5043,0.0000,0.0000,0.0000
5581.9154,0.0001,0.0001,0.0001
5581.9273,0.0001,0.0001,0.0001
5909.8601,0.0000,0.0000,0.0000
6049.7761,0.0000,0.0000,0.0000
6090.1046,0.0002,0.0003,0.0003
6186.5211,0.0000,0.0000,0.0000
6236.2909,0.0001,0.0001,0.0000
6312.4299,0.0000,0.0000,0.0001
6351.2683,0.0000,0.0000,0.0001
6351.2802,0.0000,0.0000,0.0001
6353.9147,0.0002,0.0003,0.0003
6396.3294,0.0001,0.0001,0.0001
6396.5559,0.0001,0.0001,0.0001
6396.8062,0.0001,0.0001,0.0001
6498.1699,0.0001,0.0001,0.0001
6498.1818,0.0001,0.0001,0.0001
6521.7733,0.0002,0.0002,0.0002
6559.3719,0.0000,0.0000,0.0000
6875.4196,0.0000,0.0000,0.0000
6968.3433,0.0000,0.0000,0.0000
7036.3879,0.0000,0.0000,0.0000
7070.4579,0.0000,0.0000,0.0000
7181.0603,0.0000,0.0000,0.0000
7499.9928,0.0002,0.0002,0.0002
7812.5000,0.0027,0.0025,0.0021
2124.0354,0.0000,0.0000,0.0000
2519.6552,0.0000,0.0000,0.0000
3124.5709,0.0000,0.0000,0.0000
3125.3815,0.0000,0.0000,0.0000
3561.7113,0.0000,0.0000,0.0000
3696.1794,0.0000,0.0000,0.0000
3696.5251,0.0000,0.0000,0.0000
3702.8194,0.0000,0.0000,0.0000
5134.6541,0.0000,0.0000,0.0000
5327.4870,0.0000,0.0000,0.0000
5553.2217,0.0000,0.0000,0.0000
5846.7507,0.0000,0.0000,0.0000
6238.8897,0.0001,0.0001,0.0000
6248.9152,0.0000,0.0000,0.0000
6248.9271,0.0000,0.0000,0.0000
6498.5395,0.0001,0.0001,0.0000
6501.8416,0.0000,0.0000,0.0000
6824.5411,0.0000,0.0000,0.0000
6896.6389,0.0000,0.0000,0.0000
6906.5928,0.0000,0.0000,0.0000
7007.6823,0.0000,0.0000,0.0000
7093.8230,0.0001,0.0000,0.0000
7249.7129,0.0000,0.0000,0.0000
7476.2344,0.0000,0.0000,0.0000
7601.4876,0.0000,0.0000,0.0000
7763.8030,0.0000,0.0000,0.0000
7834.9948,0.0000,0.0000,0.0000
2172.8516,0.0000,0.0000,0.0000
2761.9958,0.0000,0.0002,0.0000
2846.0741,0.0000,0.0002,0.0000
2846.0860,0.0000,0.0002,0.0000
3006.4702,0.0000,0.0001,0.0000
3105.4616,0.0000,0.0000,0.0000
3124.4159,0.0000,0.0000,0.0000
3125.6795,0.0000,0.0000,0.0000
3151.0234,0.0001,0.0001,0.0000
3151.0592,0.0000,0.0002,0.0000
3166.8782,0.0000,0.0002,0.0000
3182.5185,0.0000,0.0005,0.0000
3190.5889,0.0001,0.0002,0.0000
3449.2493,0.0000,0.0000,0.0000
3564.6319,0.0001,0.0002,0.0000
3603.8995,0.0000,0.0001,0.0000
3610.0268,0.0000,0.0000,0.0000
3703.3677,0.0000,0.0000,0.0000
3703.5584,0.0000,0.0000,0.0000
3806.3169,0.0000,0.0000,0.0000
3806.3288,0.0000,0.0000,0.0000
3806.8891,0.0000,0.0000,0.0000
3855.5264,0.0001,0.0001,0.0000
3958.7855,0.0000,0.0000,0.0000
3971.8986,0.0000,0.0004,0.0000
4001.4625,0.0000,0.0002,0.0000
4126.5369,0.0000,0.0007,0.0000
4132.3781,0.0000,0.0001,0.0000
4248.0588,0.0000,0.0000,0.0000
4496.7532,0.0000,0.0000,0.0000
4536.5214,0.0000,0.0003,0.0000
4536.5334,0.0000,0.0003,0.0000
4611.6471,0.0000,0.0002,0.0000
4612.8869,0.0000,0.0001,0.0000
4618.7520,0.0001,0.0001,0.0000
4618.7758,0.0001,0.0001,0.0000
4706.3708,0.0000,0.0000,0.0000
4711.2226,0.0000,0.0003,0.0000
4746.1033,0.0000,0.0000,0.0000
4870.8796,0.0000,0.0001,0.0000
4909.2650,0.0000,0.0003,0.0000
4909.2770,0.0000,0.0003,0.0000
5003.4523,0.0000,0.0000,0.0000
5094.9693,0.0000,0.0001,0.0000
5096.4594,0.0000,0.0002,0.0000
5116.2958,0.0000,0.0001,0.0000
5122.4232,0.0000,0.0001,0.0000
5122.4351,0.0000,0.0001,0.0000
5124.7478,0.0000,0.0000,0.0000
5156.6005,0.0000,0.0001,0.0000
5253.2077,0.0000,0.0001,0.0000
5292.6183,0.0000,0.0001,0.0000
5321.2047,0.0000,0.0001,0.0000
5362.7253,0.0000,0.0000,0.0000
5367.4340,0.0001,0.0002,0.0000
5389.4043,0.0000,0.0003,0.0000
5422.4968,0.0000,0.0000,0.0000
5440.5928,0.0000,0.0001,0.0000
5443.0962,0.0000,0.0002,0.0000
5448.9255,0.0000,0.0001,0.0000
5475.3184,0.0000,0.0000,0.0000
5553.3409,0.0000,0.0000,0.0000
5553.4959,0.0000,0.0000,0.0000
5679.4047,0.0000,0.0001,0.0000
5727.8871,0.0000,0.0001,0.0000
5742.9195,0.0000,0.0000,0.0000
5742.9314,0.0000,0.0000,0.0000
5766.8328,0.0000,0.0000,0.0000
5783.5936,0.0000,0.0003,0.0000
5795.7888,0.0000,0.0003,0.0000
5814.0993,0.0000,0.0003,0.0000
5818.5339,0.0001,0.0003,0.0000
5826.8309,0.0000,0.0004,0.0000
5837.3094,0.0000,0.0001,0.0000
5837.3332,0.0000,0.0001,0.0000
5854.9643,0.0000,0.0000,0.0000
5860.7578,0.0000,0.0001,0.0000
5926.1441,0.0000,0.0001,0.0000
5926.1799,0.0000,0.0001,0.0000
5936.3604,0.0001,0.0002,0.0000
6080.7228,0.0000,0.0001,0.0000
6080.7347,0.0000,0.0001,0.0000
6154.0008,0.0000,0.0000,0.0000
6225.0614,0.0000,0.0000,0.0000
6225.9793,0.0000,0.0000,0.0000
6287.6582,0.0000,0.0000,0.0000
6290.3523,0.0000,0.0001,0.0000
6340.4560,0.0000,0.0000,0.0000
6370.9736,0.0001,0.0001,0.0000
