freq,int_so2,int_h2o,int_d2o
2191.2813,0.0006,0.0000,0.0000
2195.0841,0.0008,0.0000,0.0000
2409.1721,0.0008,0.0000,0.0000
2430.7251,0.0001,0.0000,0.0000
2515.1968,0.0000,0.0000,0.0000
2623.2481,0.0007,0.0000,0.0000
2649.3788,0.0001,0.0001,0.0000
2732.8610,0.0014,0.0000,0.0000
2830.5888,0.0002,0.0001,0.0001
2841.4846,0.0002,0.0002,0.0002
2889.4782,0.0006,0.0004,0.0003
2892.1604,0.0000,0.0000,0.0000
2893.3644,0.0021,0.0001,0.0001
2893.7578,0.0021,0.0001,0.0001
2894.8069,0.0000,0.0000,0.0000
2919.4951,0.0001,0.0000,0.0001
3013.5155,0.0000,0.0000,0.0000
3013.5274,0.0000,0.0000,0.0000
3048.9445,0.0007,0.0006,0.0006
3057.9925,0.0000,0.0000,0.0000
3058.9104,0.0004,0.0003,0.0003
3066.7067,0.0000,0.0000,0.0000
3066.7305,0.0000,0.0000,0.0000
3068.2087,0.0012,0.0000,0.0000
3087.3179,0.0016,0.0000,0.0000
3088.7604,0.0002,0.0000,0.0000
3089.4279,0.0003,0.0000,0.0000
3104.2576,0.0014,0.0006,0.0006
3108.9544,0.0001,0.0000,0.0000
3125.5841,0.0000,0.0000,0.0000
3155.4580,0.0006,0.0000,0.0000
3218.2217,0.0000,0.0000,0.0000
3218.2336,0.0000,0.0000,0.0000
3227.2339,0.0000,0.0000,0.0000
3231.2632,0.0004,0.0000,0.0000
3231.2751,0.0004,0.0000,0.0000
3232.4076,0.0004,0.0000,0.0001
3318.8582,0.0002,0.0000,0.0000
3319.4423,0.0002,0.0000,0.0000
3319.6926,0.0000,0.0000,0.0000
3325.4743,0.0012,0.0000,0.0000
3334.7011,0.0002,0.0000,0.0000
3338.0151,0.0001,0.0000,0.0000
3338.0270,0.0001,0.0000,0.0000
3347.7545,0.0001,0.0000,0.0000
3356.3614,0.0000,0.0000,0.0000
3376.7700,0.0004,0.0003,0.0002
3404.8557,0.0011,0.0006,0.0006
3437.4952,0.0004,0.0002,0.0002
3542.3040,0.0030,0.0001,0.0001
3564.6915,0.0002,0.0000,0.0000
3566.7300,0.0001,0.0001,0.0000
3574.2879,0.0001,0.0000,0.0000
3593.9336,0.0020,0.0000,0.0001
3594.0170,0.0019,0.0000,0.0001
3594.0289,0.0018,0.0000,0.0001
3594.1124,0.0000,0.0000,0.0000
3603.1246,0.0013,0.0007,0.0007
3606.0929,0.0001,0.0001,0.0000
3614.6879,0.0026,0.0001,0.0001
3620.6484,0.0004,0.0001,0.0001
3631.6514,0.0001,0.0000,0.0000
3639.9722,0.0000,0.0000,0.0000
3640.8186,0.0000,0.0000,0.0000
3644.5141,0.0001,0.0000,0.0000
3644.5260,0.0001,0.0000,0.0000
3646.3618,0.0021,0.0016,0.0015
3659.3556,0.0000,0.0000,0.0000
3659.3914,0.0001,0.0000,0.0000
3659.4272,0.0001,0.0000,0.0000
3659.5464,0.0184,0.0085,0.0081
3659.6775,0.0001,0.0000,0.0001
3659.7490,0.0000,0.0000,0.0000
3659.8444,0.0000,0.0000,0.0000
3664.2909,0.0010,0.0004,0.0004
3670.8117,0.0000,0.0000,0.0000
3672.1230,0.0000,0.0000,0.0000
3672.1349,0.0000,0.0000,0.0000
3672.3375,0.0000,0.0000,0.0000
3674.7694,0.0002,0.0000,0.0000
3674.7932,0.0001,0.0000,0.0000
3675.0436,0.0002,0.0001,0.0001
3676.9509,0.0001,0.0000,0.0000
3683.2809,0.0000,0.0000,0.0000
3683.9366,0.0001,0.0000,0.0000
3684.8664,0.0000,0.0000,0.0000
3684.8783,0.0000,0.0000,0.0000
3685.4267,0.0002,0.0002,0.0002
3685.9274,0.0001,0.0001,0.0000
3689.3129,0.0014,0.0007,0.0006
3699.0166,0.0001,0.0000,0.0000
3703.4154,0.0000,0.0000,0.0000
3703.6657,0.0000,0.0000,0.0000
3703.7611,0.0001,0.0000,0.0000
3703.8088,0.0000,0.0000,0.0000
3703.8565,0.0001,0.0000,0.0000
3703.9041,0.0001,0.0000,0.0000
3703.9518,0.0001,0.0000,0.0000
3703.9876,0.0001,0.0000,0.0000
3704.0710,0.0004,0.0001,0.0001
3704.1903,0.0564,0.0283,0.0263
3704.3214,0.0003,0.0002,0.0002
3704.3571,0.0002,0.0001,0.0001
3704.3929,0.0001,0.0000,0.0000
3704.4406,0.0001,0.0000,0.0000
3704.4883,0.0001,0.0000,0.0000
3704.5360,0.0001,0.0000,0.0000
3704.5836,0.0001,0.0000,0.0000
3704.6313,0.0000,0.0000,0.0000
3704.6790,0.0001,0.0000,0.0000
3704.7744,0.0000,0.0000,0.0000
3704.7863,0.0000,0.0000,0.0000
3704.8340,0.0001,0.0000,0.0000
3705.2751,0.0000,0.0000,0.0000
3705.5254,0.0000,0.0000,0.0000
3706.6340,0.0001,0.0000,0.0000
