!Params
!Apodization=Kaiser
!Apodization Beta=6.0
!Band (MHz)=2000.0,8000.0
!Frequency Start (MHz)=2000.0
!Frequency Stop (MHz)=8000.0
!Gate Length (us)=20.0
!Gate Start (us)=0.0
!Normalization Reference Frequency (MHz)=2000.0
!Normalization Scale=1.0
!Normalization Slope (1/MHz)=0.000137
!Zero Pad=2
!Data
!FFT
freq	int_so2	int_water	int_deu
6236.29093	0.00008	0.00009	0.00002
4174.07751	0.00004	0.00004	0.00004
3125.15497	0.00008	0.00008	0.00007
2075.19531	0.00002	0.00002	0.00002
4233.19340	0.00061	0.00065	0.00048
4662.97865	0.00022	0.00020	0.00019
4248.79789	0.00007	0.00006	0.00006
4473.18554	0.00100	0.00097	0.00089
6186.52105	0.00005	0.00005	0.00002
6396.32940	0.00006	0.00007	0.00007
6498.16990	0.00008	0.00008	0.00011
3730.89314	0.00002	0.00003	0.00003
3124.84503	0.00008	0.00008	0.00007
7070.45794	0.00002	0.00002	0.00003
5413.00774	0.00008	0.00008	0.00007
3640.81860	0.00004	0.00004	0.00002
6090.10458	0.00025	0.00026	0.00032
4375.00477	0.00007	0.00007	0.00011
3124.76158	0.00004	0.00004	0.00004
4237.22267	0.00003	0.00003	0.00002
4504.20380	0.00003	0.00002	0.00003
5969.19060	0.00004	0.00004	0.00005
6351.26829	0.00005	0.00005	0.00007
4034.06620	0.00004	0.00004	0.00003
3688.03740	0.00009	0.00010	0.00009
5092.21554	0.00003	0.00003	0.00002
4034.07812	0.00004	0.00004	0.00003
6875.41962	0.00002	0.00002	0.00002
4412.36496	0.00004	0.00005	0.00005
5489.50434	0.00003	0.00003	0.00002
6312.42990	0.00004	0.00004	0.00008
3688.01355	0.00010	0.00010	0.00009
7036.38792	0.00003	0.00003	0.00002
4140.87772	0.00004	0.00004	0.00004
6889.11676	0.00003	0.00003	0.00004
5092.22746	0.00003	0.00003	0.00002
6521.77334	0.00017	0.00017	0.00017
3125.23842	0.00004	0.00005	0.00003
6968.34326	0.00003	0.00004	0.00002
3703.60613	0.00004	0.00004	0.00002
6498.18182	0.00008	0.00008	0.00012
7303.89357	0.00006	0.00006	0.00004
6353.91474	0.00024	0.00026	0.00033
4449.33176	0.00005	0.00006	0.00005
3124.66621	0.00003	0.00003	0.00002
7640.92207	0.00003	0.00003	0.00002
6351.16100	0.00004	0.00003	0.00007
5581.92730	0.00013	0.00012	0.00007
3125.53644	0.00002	0.00002	0.00002
6396.55590	0.00011	0.00011	0.00010
7812.50000	0.00266	0.00250	0.00209
2124.02344	0.00003	0.00003	0.00002
6396.80624	0.00009	0.00008	0.00009
6351.28021	0.00005	0.00005	0.00007
5909.86013	0.00002	0.00002	0.00002
7499.99285	0.00024	0.00022	0.00025
4237.23459	0.00003	0.00003	0.00002
4928.17163	0.00015	0.00016	0.00017
3241.94431	0.00007	0.00007	0.00006
3705.52540	0.00002	0.00002	0.00000
6458.12750	0.00002	0.00002	0.00000
7476.23444	0.00002	0.00003	0.00000
