freq,int_h2o,int_d2o,cluster
2102.42271000,0.00003243,0.00002576,2
2121.31739000,0.00001869,0.00002206,4
2121.32931000,0.00001794,0.00002360,6
2121.94920000,0.00001865,0.00001413,2
2122.27106000,0.00003092,0.00001842,5
2124.02344000,0.00002417,0.00001212,8
2127.61164000,0.00002465,0.00002013,0
2130.85413000,0.00001613,0.00002046,4
2135.84900000,0.00001770,0.00001097,5
2136.07550000,0.00001335,0.00003184,12
2139.04381000,0.00002476,0.00001138,8
2146.70897000,0.00001600,0.00001178,2
2150.39253000,0.00002861,0.00001136,11
2174.90196000,0.00002511,0.00001321,8
2187.50238000,0.00046375,0.00005942,13
2191.28132000,0.00001611,0.00002218,6
2195.08410000,0.00002813,0.00001762,5
2265.60831000,0.00001359,0.00001204,0
2314.44836000,0.00002006,0.00001271,5
2402.29368000,0.00002087,0.00001943,0
2409.17206000,0.00002189,0.00001800,0
2411.91387000,0.00005103,0.00004481,0
2427.08921000,0.00001819,0.00005770,9
2430.72510000,0.00002630,0.00001547,5
2433.32386000,0.00001590,0.00001223,2
2435.31466000,0.00001860,0.00001125,5
2480.45921000,0.00001571,0.00001493,1
2499.99762000,0.00025601,0.00030183,4
2515.19680000,0.00001547,0.00002270,6
2539.90889000,0.00001403,0.00006345,14
2604.47264000,0.00002903,0.00002092,2
2621.55533000,0.00002918,0.00003303,4
2623.24810000,0.00002679,0.00003044,4
2649.37878000,0.00005064,0.00004167,0
2732.86104000,0.00004294,0.00003408,2
2754.03261000,0.00079760,0.00003603,3
2759.08709000,0.00087550,0.00003204,3
2792.96637000,0.00002245,0.00001998,0
2792.97829000,0.00002109,0.00002055,1
2812.50477000,0.00089015,0.00069673,2
2830.58882000,0.00011353,0.00011470,1
2841.48455000,0.00018836,0.00016312,0
2889.47821000,0.00036056,0.00033657,0
2890.62262000,0.00002936,0.00001748,5
2892.16042000,0.00001559,0.00001736,4
2893.36443000,0.00005890,0.00005972,1
2893.75782000,0.00006701,0.00005975,0
2894.80686000,0.00002206,0.00001141,8
2901.45874000,0.00006110,0.00004497,2
2911.38887000,0.00002565,0.00002614,1
2913.32006000,0.00100765,0.00001611,3
2913.34391000,0.00082398,0.00001273,3
2919.49511000,0.00004880,0.00005021,1
2929.97360000,0.00001320,0.00001624,4
2932.66773000,0.00002821,0.00001566,8
2935.96983000,0.00012219,0.00009626,2
2939.45074000,0.00001835,0.00001275,2
2955.32942000,0.00003429,0.00002223,5
2958.98914000,0.00001759,0.00001129,5
2979.26664000,0.00002904,0.00001372,8
2979.27856000,0.00002776,0.00001417,8
2999.41301000,0.00015890,0.00013945,0
3005.00393000,0.00017324,0.00014777,0
3013.51547000,0.00001591,0.00001530,1
3013.52739000,0.00001629,0.00001584,1
