-------- Hyperameters ---------
angular threshold 0.04
Maximum n of clusters 30
Maximum iterations 10000
Angle growth 0.0
Maximum angle allowed 0.04
Min samples 2
-------- Variables ---------
population ranking 17
slope 0.3012360586739313
intercept 0.0
r2 0.9918748245574537
arctan 0.292590407120924
n_points 24

x y
3.71233503e-05 1.13787237e-05
1.03971053e-04 2.92175165e-05
6.86031431e-05 2.15997482e-05
7.98424026e-05 2.50698813e-05
4.69075181e-05 1.34662600e-05
8.36141160e-05 2.68917070e-05
7.13746020e-05 2.00069007e-05
3.47737068e-05 1.08415119e-05
4.82152669e-05 1.45401467e-05
6.00724924e-05 1.88312785e-05
4.21364816e-05 1.28813250e-05
4.42662615e-05 1.34501839e-05
4.70404036e-05 1.39497520e-05
4.13597552e-05 1.27212600e-05
4.85320176e-05 1.53575725e-05
8.13120810e-05 2.35649740e-05
6.41929699e-05 2.05187849e-05
1.93657425e-04 5.98740576e-05
2.00712167e-04 6.13954444e-05
5.84750003e-05 1.70474574e-05
1.44669397e-04 3.97109051e-05
4.70461987e-05 1.49345698e-05
5.37516659e-05 1.66126241e-05
4.55308354e-05 1.37835868e-05
