-------- Hyperameters ---------
angular threshold 0.04
Maximum n of clusters 30
Maximum iterations 10000
Angle growth 0.0
Maximum angle allowed 0.04
Min samples 2
-------- Variables ---------
population ranking 12
slope 2.8982034682438536
intercept 0.0
r2 0.9936506043773448
arctan 1.2385458361963946
n_points 117

x y
1.37323922e-04 4.16185602e-04
2.58688601e-05 7.20063798e-05
2.16013997e-05 5.83697882e-05
3.44763990e-05 1.04341391e-04
3.43555924e-05 1.05034562e-04
2.86275760e-05 8.45652033e-05
2.64908408e-05 8.31601664e-05
8.28694647e-04 2.40932184e-03
2.03806967e-04 5.25282664e-04
2.59289995e-04 6.73326756e-04
2.27401738e-05 6.97476090e-05
2.21717339e-05 6.10263137e-05
6.35492483e-05 2.06743430e-04
4.83595303e-04 1.44299214e-03
4.60143133e-05 1.51536560e-04
2.14105471e-05 6.43158291e-05
2.34411300e-05 6.01858399e-05
1.05289014e-04 3.44723291e-04
2.80679289e-04 8.71381499e-04
3.35301564e-05 8.65990600e-05
6.51522627e-04 1.78080797e-03
5.96983436e-04 1.62871264e-03
6.19307148e-04 1.76433740e-03
4.45689367e-04 1.33795799e-03
1.20116338e-04 3.14560768e-04
4.59885048e-05 1.43801634e-04
2.17963577e-05 6.62607522e-05
3.35701602e-05 9.71560244e-05
3.52113906e-05 1.15424850e-04
2.75835133e-05 7.54334993e-05
2.68305604e-05 7.54609202e-05
3.97332117e-05 1.24948661e-04
4.17752989e-04 1.20253741e-03
5.49096244e-05 1.51438903e-04
5.04032613e-05 1.33729586e-04
7.32642426e-04 2.37872429e-03
8.14297853e-05 2.15107777e-04
3.95033553e-05 1.21370744e-04
4.04152371e-05 1.10170608e-04
1.85817363e-04 5.89737908e-04
1.63709855e-04 5.29476097e-04
1.35735052e-04 3.56031880e-04
2.97444630e-04 9.21081241e-04
1.66768482e-04 5.50214432e-04
1.25044937e-04 3.52898266e-04
3.95832116e-05 1.02982239e-04
5.51266280e-05 1.67278901e-04
2.67701140e-05 8.35863639e-05
6.91372721e-05 1.93967049e-04
3.98215782e-04 1.27233367e-03
8.91384152e-04 2.57429732e-03
5.62065868e-05 1.85801551e-04
5.07018653e-05 1.43538797e-04
5.03646479e-05 1.44925991e-04
2.09524978e-05 6.04135361e-05
5.49894599e-05 1.55064253e-04
8.97748086e-05 2.67524196e-04
4.54247434e-05 1.42836191e-04
4.05532384e-05 1.05469016e-04
2.78316261e-05 7.59939361e-05
6.23202364e-05 1.91244760e-04
1.55567204e-04 4.17322694e-04
2.03191795e-05 6.38803866e-05
2.67652775e-05 7.27092096e-05
1.51905611e-04 4.69945410e-04
4.13135276e-05 1.34422877e-04
2.78060420e-05 7.16128617e-05
4.36203341e-05 1.29827751e-04
3.33519813e-05 1.02338659e-04
3.30767399e-05 1.03059191e-04
2.15722120e-05 6.64319468e-05
2.18529170e-05 6.55190431e-05
2.83410048e-05 7.41772407e-05
2.32209396e-05 5.93897552e-05
2.22206314e-05 6.04433326e-05
2.34999815e-05 6.27109932e-05
6.13704328e-04 1.66942047e-03
1.20705208e-04 3.62570362e-04
4.70490537e-05 1.21671478e-04
4.35517348e-05 1.18344626e-04
2.14225325e-04 5.74890921e-04
2.58215524e-04 6.72828369e-04
2.69273471e-04 7.06227060e-04
3.19491804e-05 8.91620055e-05
2.95144411e-05 9.44771450e-05
6.39816529e-05 2.09912539e-04
7.01543320e-05 1.81714417e-04
1.14524755e-04 3.48824768e-04
1.90643812e-04 6.11468388e-04
2.81242801e-05 7.17201717e-05
1.90353201e-04 5.81102391e-04
6.32849738e-05 1.83647543e-04
1.15089958e-04 3.56054101e-04
1.22377962e-04 3.71545565e-04
2.18374559e-05 6.12977774e-05
3.46990656e-05 1.05183907e-04
2.97813735e-05 8.90819391e-05
5.18315594e-05 1.39565304e-04
2.76851166e-05 8.06553213e-05
1.08715397e-04 2.96249124e-04
3.00434087e-04 7.99613959e-04
3.00542244e-04 7.97389081e-04
3.94754882e-05 1.16765113e-04
4.01325812e-05 1.25532983e-04
1.95482021e-04 5.25580564e-04
1.08760764e-04 3.57444379e-04
2.14645514e-05 7.04076548e-05
3.40198996e-05 9.62099351e-05
3.91570399e-05 1.17020055e-04
1.20628092e-04 3.44950192e-04
1.29350831e-04 3.33172681e-04
3.48286365e-05 9.46699696e-05
2.56948154e-05 6.79943168e-05
5.20504193e-05 1.52273371e-04
8.99493982e-05 2.77631090e-04
9.13499715e-05 2.37782722e-04
3.17534584e-05 8.81047415e-05
