freq,int_doh,int_d2o,cluster
6000.18333333,0.00002415,0.00001849,5
6000.35833333,0.00000000,0.00001605,1
6000.64166667,0.00000000,0.00002035,1
6000.67500000,0.00000000,0.00002403,1
6001.35000000,0.00002407,0.00002658,6
6005.00000000,0.00002263,0.00000000,0
6005.85000000,0.00027377,0.00015668,3
6010.00000000,0.00056420,0.00034144,3
6015.00000000,0.00000000,0.00002611,1
6015.61666667,0.00039766,0.00033186,5
6015.76666667,0.00000000,0.00001379,1
6016.66666667,0.00003176,0.00000000,0
6016.68333333,0.00003071,0.00001197,2
6018.55000000,0.00000000,0.00001576,1
6020.00000000,0.00259532,0.00175943,3
6025.00000000,0.00073451,0.00047144,3
6025.40000000,0.00004064,0.00007702,7
6026.15833333,0.00007844,0.00008373,6
6030.00000000,0.00032098,0.00023357,3
6035.00000000,0.00002771,0.00001216,2
6035.20000000,0.00000000,0.00001382,1
6040.00000000,0.00403289,0.00283083,3
6044.93333333,0.00007194,0.00006566,5
6050.00000000,0.00241847,0.00082717,2
6052.04166667,0.00000000,0.00002850,1
6052.90000000,0.00005232,0.00000000,0
6054.68333333,0.00106293,0.00063176,3
6055.00000000,0.00002162,0.00003418,7
6060.00000000,0.00478260,0.00341102,3
6064.04166667,0.00000000,0.00001258,1
6064.44166667,0.00028717,0.00027222,5
6064.58333333,0.00000000,0.00001190,1
6065.00000000,0.00004672,0.00002360,2
6065.80833333,0.00026304,0.00000000,0
6070.00000000,0.00036023,0.00018960,10
6072.29166667,0.00002342,0.00000000,0
6074.21666667,0.00004654,0.00009055,7
6075.00000000,0.00034378,0.00023461,3
6079.09166667,0.00004210,0.00003398,5
6080.00000000,0.00313977,0.00262377,5
6082.10000000,0.00004949,0.00004920,5
6083.99166667,0.00000000,0.00002162,1
6085.00000000,0.00002902,0.00002024,3
6088.86666667,0.00002111,0.00002456,6
6090.00000000,0.00049111,0.00025089,2
6093.75000000,0.00026656,0.00020144,3
6095.00000000,0.00004363,0.00004300,5
6098.63333333,0.00000000,0.00001492,1
6100.00000000,0.00296149,0.00045210,0
6100.83333333,0.00004156,0.00000000,0
6101.39166667,0.00000000,0.00001290,1
6103.28333333,0.00000000,0.00001206,1
6103.51666667,0.00036815,0.00026591,3
6103.65000000,0.00002143,0.00001830,5
6104.99166667,0.00002765,0.00001590,3
6110.00000000,0.00020176,0.00018434,5
6113.26666667,0.00015660,0.00014755,5
6113.27500000,0.00015655,0.00014946,5
6113.40833333,0.00000000,0.00001225,1
6115.00000000,0.00009503,0.00004573,2
6116.74166667,0.00002388,0.00004828,7
6120.00000000,0.00166872,0.00099520,3
6120.71666667,0.00014692,0.00006709,2
6120.74166667,0.00016279,0.00007638,2
6123.04166667,0.00004941,0.00010272,7
6125.00000000,0.00102809,0.00033331,4
6127.92500000,0.00002392,0.00001258,10
6127.94166667,0.00002281,0.00001307,3
6129.75833333,0.00011445,0.00005273,2
6129.77500000,0.00011869,0.00005986,2
6130.00000000,0.00032381,0.00010809,2
6132.80000000,0.00004787,0.00003919,5
6134.80833333,0.00007401,0.00005847,5
6135.00000000,0.00005058,0.00004188,5
6136.09166667,0.00093155,0.00071014,5
6136.42500000,0.00002282,0.00000000,0
6140.00000000,0.00176008,0.00134342,5
6141.35000000,0.00011666,0.00007733,3
6141.38333333,0.00009858,0.00006778,3
6142.59166667,0.00004540,0.00004076,5
6143.36666667,0.00000000,0.00001456,1
6145.00000000,0.00000000,0.00002899,1
6146.93333333,0.00000000,0.00001548,1
6149.36666667,0.00000000,0.00001196,1
6150.00000000,0.00161896,0.00098355,3
6150.13333333,0.00003887,0.00002465,3
6150.17500000,0.00004303,0.00002748,3
6150.28333333,0.00000000,0.00001269,1
6152.35000000,0.00010059,0.00009083,5
6155.00000000,0.00002521,0.00004195,7
6155.32500000,0.00008551,0.00002909,2
6155.33333333,0.00008584,0.00002886,2
6160.00000000,0.00043384,0.00030314,3
6162.10833333,0.00005796,0.00004715,5
6164.77500000,0.00011696,0.00018839,7
6165.00000000,0.00002694,0.00001630,3
6167.31666667,0.00007914,0.00008071,5
6170.00000000,0.00017115,0.00009160,3
6170.30000000,0.00005322,0.00000000,0
6171.87500000,0.00004948,0.00007537,7
6175.00000000,0.00013732,0.00041619,8
6180.00000000,0.00020715,0.00026115,6
6181.65000000,0.00000000,0.00002056,1
