freq,int_h2o,int_d2o,cluster
6000.64166667,0.00004320,0.00002035,4
6000.67500000,0.00003840,0.00002403,7
6005.85000000,0.00025284,0.00015668,7
6010.00000000,0.00045816,0.00034144,8
6015.00000000,0.00005429,0.00002611,4
6015.61666667,0.00024553,0.00033186,27
6020.00000000,0.00211818,0.00175943,10
6025.00000000,0.00027739,0.00047144,19
6025.40000000,0.00009191,0.00007702,10
6026.15833333,0.00005043,0.00008373,19
6030.00000000,0.00036224,0.00023357,7
6040.00000000,0.00375757,0.00283083,8
6044.93333333,0.00010177,0.00006566,7
6050.00000000,0.00150452,0.00082717,6
6052.04166667,0.00010300,0.00002850,1
6054.68333333,0.00052181,0.00063176,13
6060.00000000,0.00446240,0.00341102,8
6064.44166667,0.00027593,0.00027222,11
6070.00000000,0.00020281,0.00018960,11
6074.21666667,0.00006843,0.00009055,13
6075.00000000,0.00014410,0.00023461,19
6079.09166667,0.00004055,0.00003398,10
6080.00000000,0.00326863,0.00262377,10
6082.10000000,0.00012126,0.00004920,2
6090.00000000,0.00028929,0.00025089,10
6093.75000000,0.00030705,0.00020144,7
6100.00000000,0.00101469,0.00045210,4
6103.51666667,0.00040663,0.00026591,7
6110.00000000,0.00017651,0.00018434,14
6113.26666667,0.00015266,0.00014755,11
6113.27500000,0.00015244,0.00014946,11
6115.00000000,0.00007381,0.00004573,7
6116.74166667,0.00006428,0.00004828,8
6120.00000000,0.00123065,0.00099520,10
6120.71666667,0.00016286,0.00006709,20
6120.74166667,0.00016152,0.00007638,4
6123.04166667,0.00006312,0.00010272,19
6125.00000000,0.00065422,0.00033331,6
6129.75833333,0.00012816,0.00005273,20
6129.77500000,0.00012486,0.00005986,4
6130.00000000,0.00008589,0.00010809,13
6132.80000000,0.00008713,0.00003919,4
6135.00000000,0.00007046,0.00004188,7
6136.09166667,0.00079382,0.00071014,11
6140.00000000,0.00197943,0.00134342,8
6141.35000000,0.00003723,0.00007733,21
6141.38333333,0.00004928,0.00006778,17
6142.59166667,0.00005852,0.00004076,8
6150.00000000,0.00094399,0.00098355,14
6150.13333333,0.00003360,0.00002465,8
6152.35000000,0.00010223,0.00009083,11
6155.32500000,0.00014478,0.00002909,0
6155.33333333,0.00014517,0.00002886,12
6160.00000000,0.00027525,0.00030314,14
6162.10833333,0.00005249,0.00004715,11
6164.77500000,0.00026044,0.00018839,8
6167.31666667,0.00016168,0.00008071,6
6170.00000000,0.00014645,0.00009160,7
6175.00000000,0.00050356,0.00041619,10
6180.00000000,0.00036712,0.00026115,8
6183.32500000,0.00005271,0.00004956,11
6183.33333333,0.00005221,0.00004992,11
6187.40833333,0.00003470,0.00002404,8
6187.56666667,0.00003404,0.00002406,8
6190.00833333,0.00003663,0.00004559,13
6191.40000000,0.00005332,0.00003451,7
6200.00000000,0.00298742,0.00086289,1
6201.17500000,0.00011284,0.00007553,15
6210.95833333,0.00004082,0.00002619,7
6220.00000000,0.00067503,0.00019439,1
6225.00000000,0.00018380,0.00016129,-1
6226.08333333,0.00004240,0.00002905,8
6230.00000000,0.00023809,0.00015131,7
6230.65833333,0.00128667,0.00036995,1
6230.67500000,0.00130894,0.00035819,1
6240.00000000,0.00014159,0.00005049,2
6240.22500000,0.00007394,0.00003786,6
6240.24166667,0.00007922,0.00003682,4
6245.00833333,0.00005510,0.00004050,8
6249.64166667,0.00005753,0.00003880,15
6249.73333333,0.00005372,0.00006771,13
