freq,int_h2o,int_doh,cluster
6000.18333333,0.00000000,0.00002415,1
6000.64166667,0.00004320,0.00000000,0
6000.67500000,0.00003840,0.00000000,0
6001.35000000,0.00000000,0.00002407,1
6002.76666667,0.00005544,0.00000000,0
6005.00000000,0.00000000,0.00002263,1
6005.85000000,0.00025284,0.00027377,5
6006.00833333,0.00003336,0.00000000,0
6010.00000000,0.00045816,0.00056420,6
6014.44166667,0.00004032,0.00000000,0
6014.78333333,0.00005200,0.00000000,0
6015.00000000,0.00005429,0.00000000,0
6015.61666667,0.00024553,0.00039766,6
6016.66666667,0.00000000,0.00003176,1
6016.68333333,0.00000000,0.00003071,1
6020.00000000,0.00211818,0.00259532,6
6025.00000000,0.00027739,0.00073451,9
6025.40000000,0.00009191,0.00004064,3
6026.15833333,0.00005043,0.00007844,6
6030.00000000,0.00036224,0.00032098,5
6035.00000000,0.00000000,0.00002771,1
6040.00000000,0.00375757,0.00403289,5
6044.93333333,0.00010177,0.00007194,4
6050.00000000,0.00150452,0.00241847,6
6052.04166667,0.00010300,0.00000000,0
6052.90000000,0.00000000,0.00005232,1
6054.68333333,0.00052181,0.00106293,8
6055.00000000,0.00000000,0.00002162,1
6060.00000000,0.00446240,0.00478260,5
6064.44166667,0.00027593,0.00028717,5
6065.00000000,0.00000000,0.00004672,1
6065.80833333,0.00000000,0.00026304,1
6070.00000000,0.00020281,0.00036023,8
6070.57500000,0.00003661,0.00000000,0
6072.29166667,0.00000000,0.00002342,1
6074.21666667,0.00006843,0.00004654,4
6075.00000000,0.00014410,0.00034378,8
6079.09166667,0.00004055,0.00004210,5
6080.00000000,0.00326863,0.00313977,5
6082.10000000,0.00012126,0.00004949,3
6083.82500000,0.00003347,0.00000000,0
6085.00000000,0.00000000,0.00002902,1
6088.86666667,0.00000000,0.00002111,1
6090.00000000,0.00028929,0.00049111,6
6093.75000000,0.00030705,0.00026656,11
6095.00000000,0.00000000,0.00004363,1
6100.00000000,0.00101469,0.00296149,9
6100.83333333,0.00000000,0.00004156,1
6103.51666667,0.00040663,0.00036815,5
6103.65000000,0.00000000,0.00002143,1
6104.99166667,0.00000000,0.00002765,1
6110.00000000,0.00017651,0.00020176,5
6113.26666667,0.00015266,0.00015660,5
6113.27500000,0.00015244,0.00015655,5
6115.00000000,0.00007381,0.00009503,6
6116.74166667,0.00006428,0.00002388,2
6120.00000000,0.00123065,0.00166872,6
6120.71666667,0.00016286,0.00014692,5
6120.74166667,0.00016152,0.00016279,5
6123.04166667,0.00006312,0.00004941,4
6125.00000000,0.00065422,0.00102809,6
6127.92500000,0.00000000,0.00002392,1
6127.94166667,0.00000000,0.00002281,1
6129.75833333,0.00012816,0.00011445,5
6129.77500000,0.00012486,0.00011869,5
6130.00000000,0.00008589,0.00032381,9
6132.80000000,0.00008713,0.00004787,3
6134.80833333,0.00000000,0.00007401,1
6135.00000000,0.00007046,0.00005058,4
6136.09166667,0.00079382,0.00093155,5
6136.42500000,0.00000000,0.00002282,1
6140.00000000,0.00197943,0.00176008,5
6141.35000000,0.00003723,0.00011666,9
6141.38333333,0.00004928,0.00009858,8
6142.59166667,0.00005852,0.00004540,4
6150.00000000,0.00094399,0.00161896,13
6150.13333333,0.00003360,0.00003887,5
6150.17500000,0.00000000,0.00004303,1
6150.71666667,0.00003401,0.00000000,0
6152.35000000,0.00010223,0.00010059,5
6155.00000000,0.00000000,0.00002521,1
6155.32500000,0.00014478,0.00008551,3
6155.33333333,0.00014517,0.00008584,3
6160.00000000,0.00027525,0.00043384,6
6162.10833333,0.00005249,0.00005796,5
6164.77500000,0.00026044,0.00011696,3
6165.00000000,0.00000000,0.00002694,1
6167.31666667,0.00016168,0.00007914,3
6170.00000000,0.00014645,0.00017115,5
6170.30000000,0.00000000,0.00005322,1
6171.87500000,0.00000000,0.00004948,1
6175.00000000,0.00050356,0.00013732,2
6180.00000000,0.00036712,0.00020715,3
6183.32500000,0.00005271,0.00007933,6
