freq,cluster
6612.90884,14
3757.9298,19
6562.50715,7
7524.95527,6
6186.42569,6
6755.3997,3
6632.7095,0
6720.24488,32
2754.03261,6
5592.79919,8
7354.86746,6
5363.95311,0
5515.71846,19
5671.91839,8
7624.73345,0
5608.0699,17
4155.82657,18
5828.11832,6
4668.48612,0
5533.51641,0
5872.07079,8
6515.66982,4
3013.51547,0
3906.703,6
7298.55299,16
6459.68914,26
6339.63346,30
5920.88699,0
6468.58215,22
6486.48739,30
3704.07104,2
3013.52739,0
6030.15423,9
6717.71765,19
6431.99682,20
7014.83488,32
6088.98401,1
6360.87656,3
4102.56386,1
6677.77061,
5893.27812,3
4518.21089,13
7157.25422,4
2430.7251,12
6720.68596,18
4718.91165,0
3576.55287,26
3614.58063,1
5561.20872,2
3489.98308,24
6769.10877,1
6362.33091,16
4646.15822,12
6577.93283,31
4451.46561,1
5535.42376,11
7500.69618,15
4736.68575,2
4645.68138,0
4259.08566,1
6718.81437,3
7288.21754,9
4309.16548,0
4913.06782,6
3647.19629,8
4397.14193,28
7406.23474,4
5597.68677,0
7659.88827,3
6562.60252,20
7491.33825,
6026.80445,5
6837.39185,2
4750.47827,20
7963.27591,1
7209.11026,8
6052.49405,
6432.08027,17
7406.35395,4
5527.48442,7
6250.11921,15
6514.08434,0
6781.07738,2
5555.18866,0
5430.69839,0
3723.87171,5
6874.99046,8
5145.01333,5
3351.16386,1
5210.66189,
7899.66583,23
6344.11573,13
3325.47426,2
6236.29093,22
5318.42709,9
6753.84998,31
4488.03902,26
5844.78378,0
4174.07751,2
6101.46523,7
6250.20266,19
7318.32981,4
6095.44516,11
4460.82354,0
7409.70373,1
5693.12572,23
6119.59696,1
3646.2307,10
7227.25391,3
5398.9172,27
7664.71624,2
7722.02015,13
6860.01778,27
7901.02482,15
4433.45308,2
5722.11742,38
5445.86182,2
6321.64478,2
6753.73077,3
6168.44893,38
7886.12366,9
6295.93134,33
3647.17245,8
7682.94334,8
4444.33689,0
5872.39265,12
6459.58185,9
2515.1968,9
6702.32773,3
3523.5405,14
6280.62487,19
6726.96829,19
3779.1729,5
4336.54785,1
5439.92519,6
6936.12099,0
7318.7232,2
4679.64411,18
6107.6045,27
3125.20266,1
5826.91431,1
6283.70047,19
4736.93609,0
5554.986,8
3703.9876,5
4351.46093,8
6198.6208,4
5524.83797,9
6104.25472,10
3720.77227,3
7470.42894,12
3614.56871,1
2121.31739,5
3842.87834,0
3934.7887,1
2411.91387,4
6722.04494,6
6250.0,17
5537.22382,1
4451.78747,3
5555.08137,5
6626.61791,37
3319.44227,4
4897.71366,20
3672.33753,
3229.96378,12
7354.77209,6
4766.08276,31
5257.96413,2
6406.65293,17
7500.62466,31
7318.58015,0
6465.51847,1
4735.5175,27
7127.34461,29
6623.25621,10
6640.06472,22
7355.1774,24
6429.45766,30
6708.24051,1
7224.24984,3
7347.41688,0
4659.83152,13
6283.59318,19
2134.10854,2
6816.37526,0
6981.51588,2
6955.79052,12
6511.46173,10
7022.64309,6
6556.96392,5
3066.83779,1
6429.01659,7
5670.2733,12
6717.62228,20
3125.15497,1
4706.77614,0
6435.45389,22
3291.22543,15
7209.24139,4
3124.61853,2
5646.33608,1
7543.34927,0
5711.65085,3
5130.36251,4
5767.5004,21
5969.57207,8
5459.53512,0
6432.271,20
4233.1934,3
6446.13504,14
5282.09209,9
3318.85815,2
6555.40228,28
4685.89067,0
6699.58591,1
7224.58363,3
4412.65106,1
3703.46308,14
2102.42271,1
6095.71934,7
3575.8853,4
5471.80176,7
5345.73793,2
4477.8347,11
3123.08073,1
5488.71756,0
5679.48818,10
3459.20324,3
6365.59725,21
4735.86321,1
6749.57037,
6681.33497,4
6972.96858,3
6227.6721,9
6298.74468,13
5890.54823,23
6033.30135,31
4432.33252,8
6176.13792,13
4294.39545,5
7377.77948,0
6789.14785,14
6247.47276,16
7347.66722,1
7314.02636,8
6687.35504,36
6720.49522,6
2919.49511,2
2075.19531,7
5600.83389,28
7309.57985,19
5525.20752,4
5306.70881,4
7345.75987,15
5746.68646,15
6456.51817,1
6473.279,1
7019.87743,34
6163.90705,0
6244.00377,4
7036.32832,3
6406.53372,11
5512.86936,1
4285.07328,3
5555.35555,1
2792.96637,4
6049.75224,9
4837.63218,5
7391.59584,18
6395.76912,2
7091.08114,4
2893.75782,4
5899.89424,22
4421.556,27
6674.98112,15
6479.66862,6
5878.66306,1
3703.41539,2
7950.18673,12
4503.53622,2
3659.3914,2
6810.40287,22
3659.42717,4
7496.40465,5
6390.1782,5
7355.10588,9
6931.53143,7
6848.43063,2
7959.11551,17
6309.64041,19
5075.5024,21
7666.02755,39
6756.98519,0
3244.24505,2
4653.73993,0
6632.48301,2
3334.70106,
4855.54934,31
6528.13911,18
6570.63723,
5555.42707,1
3568.98308,6
3704.32138,0
5795.0139,1
3787.82749,0
4248.79789,4
3419.6496,26
4751.08624,15
6215.54852,16
5515.75422,20
6866.58621,1
7218.95695,25
2480.45921,0
7420.67099,15
6792.41419,5
7355.02243,32
7288.22947,7
6933.35533,14
7980.68047,0
4309.1774,0
4735.76784,1
3707.2897,13
3721.65442,12
6186.52105,27
6168.67542,37
5312.50238,19
6628.28684,4
6789.05249,33
6396.10291,2
5969.89393,2
4905.74837,0
6459.77259,30
7446.43211,33
2191.28132,9
5652.58265,0
5875.53978,8
3561.48481,6
7019.78207,5
7405.37643,0
2427.08921,
5385.69689,10
4750.99087,15
3938.62724,4
6250.67949,0
4971.06314,10
7290.13681,0
5695.21189,5
5299.17479,6
3704.35715,0
6465.76881,17
6848.2399,1
6889.28366,5
7502.28167,3
7209.68246,35
5775.65432,2
7218.49203,19
5619.44246,2
3721.10605,0
6895.30373,7
5624.98569,27
7856.09484,10
5672.40715,32
7118.2251,1
3123.06881,1
6432.58095,24
7260.99014,5
4473.18554,4
6722.29528,10
6842.35096,5
7224.94125,3
6088.03034,9
4662.97865,0
5555.24826,2
6528.03183,30
5088.19818,3
6931.9129,3
6591.79687,7
5972.89801,5
3124.51124,8
5403.97167,19
6459.85603,0
6983.28018,7
5780.07698,0
7326.29299,2
5537.42647,4
6754.3745,3
4704.05817,2
6018.40019,6
7021.27218,8
6663.00058,5
4521.70372,2
6681.6926,4
6720.73364,14
7041.13245,4
5088.01937,10
6329.67949,
7640.94591,8
7218.8735,14
4881.87075,17
6405.24626,19
4746.89007,1
3776.3834,5
4524.95813,0
5364.26306,1
3516.88862,22
7841.18176,8
2402.29368,0
4735.99434,1
3125.42915,4
4611.48024,26
2911.38887,2
7664.74009,7
6663.26284,23
6936.62167,20
5766.64209,19
6359.76791,5
4999.99523,0
7715.15369,1
6754.26722,8
6287.12177,16
5378.1271,10
6481.36139,32
6417.69171,11
3769.48118,0
6598.05536,9
4429.60262,12
4805.75562,7
5871.46282,18
5511.62958,0
7264.36377,0
6429.94642,25
5813.62247,14
6709.2061,32
6396.3294,2
3719.55633,0
6578.24278,0
5077.66008,0
3421.9861,14
4446.41113,2
7770.99133,2
4573.45247,0
4582.8104,0
6634.54533,14
6754.68445,3
4537.4155,2
7901.94273,17
7224.72668,3
5579.74577,2
3685.42671,7
7240.1166,31
6498.1699,11
6414.71148,20
3633.04615,7
7206.95257,3
6772.50624,17
6338.50098,19
6634.64069,14
4622.2806,0
4752.81477,17
7164.43062,21
6432.96242,11
7318.73512,4
7018.69726,14
6432.48558,24
2999.41301,4
3787.81557,2
6444.75222,4
3589.11753,9
5488.87253,0
5760.66971,35
3319.69261,1
7355.24893,9
6654.36983,7
6613.42144,25
7194.7217,28
7446.71822,14
2932.66773,12
6476.90296,34
7240.20004,2
7303.92933,26
6429.51727,36
3562.40273,4
7197.95227,8
7033.84876,1
7162.91666,0
4736.35197,0
6088.28068,1
3513.33618,7
2759.08709,6
3124.84503,1
3262.79402,5
5548.05994,0
3730.89314,5
2195.0841,8
7404.07705,34
6910.81285,0
6558.88319,25
4800.08125,0
3659.67751,5
4796.73147,3
6396.2698,0
6957.75747,3
3710.59179,6
5555.52244,2
2409.17206,1
7948.81582,17
4753.14856,15
5306.73265,8
6926.16701,4
7240.42654,2
3683.9366,2
3668.08176,14
4780.41172,6
6340.30104,22
7088.70888,3
6464.89859,6
7190.07254,27
6627.08282,7
4285.5382,6
4281.07977,8
7205.39093,2
5704.68903,0
3187.6564,8
5411.63683,3
4473.47164,16
7225.09623,3
6410.03847,13
4884.75561,5
4623.75879,2
6177.74725,13
6255.37634,24
7223.64187,3
4326.59388,1
4644.97805,22
6419.40832,3
5449.71228,8
7070.45794,9
7035.29119,1
7083.80938,6
5276.58463,1
7325.43468,38
6168.84232,36
7402.63462,9
7498.46697,10
4687.5,26
6470.90673,7
5574.1787,0
5746.76991,39
5555.96352,5
6432.85513,33
5488.75332,2
5408.64468,8
7018.48269,14
6432.77168,
4752.7194,36
7496.55962,4
6600.22497,12
6020.35522,27
2889.47821,0
5170.67909,5
7170.61758,5
6176.67437,34
4753.04127,20
4659.16395,17
5508.88777,0
3300.78602,1
5586.43341,15
5683.3744,10
5914.19935,32
6480.14545,10
5979.38299,9
5826.21098,29
5571.1031,0
4663.58662,4
3720.4504,1
5712.04424,27
3347.75448,4
3689.31293,0
3124.79734,3
6515.20491,33
5379.76027,0
3218.22166,12
7219.12384,4
4631.87695,31
5367.9347,25
7381.66571,1
6362.99849,29
3677.91653,29
6906.25906,12
7181.06031,2
6800.47274,34
6677.40107,12
6390.58352,7
6090.10458,7
6569.60011,29
6939.73303,2
7033.74147,0
2935.96983,23
6610.56042,1
5492.44881,1
6351.1014,28
4375.00477,13
6363.42764,21
4062.49762,18
5323.88687,4
5555.7251,0
5498.45695,0
5184.1259,2
7020.31851,3
6354.09355,2
3640.8186,12
7405.91288,0
7206.77376,1
7841.46786,8
5404.01936,12
6783.65231,4
6704.55694,6
6077.76642,7
5370.83149,10
3668.06984,31
6806.3736,25
7433.06875,29
5637.87222,
7861.16123,26
7898.77176,12
4845.52383,1
5622.9353,0
7899.17707,8
5413.00774,4
6691.18166,3
7210.11162,5
3704.58364,3
6458.80699,13
6702.9953,6
5581.91538,31
7727.56338,7
3124.76158,1
7405.81751,8
5216.08591,3
7034.12294,1
6524.45555,11
7206.98833,18
3262.12645,1
7449.73421,22
3837.99076,3
6545.71056,6
7033.97989,1
3704.48828,0
2830.58882,2
4780.67398,39
3704.53596,2
7035.55346,1
7138.91983,5
7032.52554,4
6455.791,5
4471.14706,8
5733.65688,4
3748.57187,1
4036.20005,12
6402.83823,5
6994.93885,14
6336.10487,19
2929.9736,5
3813.8032,19
4516.22009,10
6058.32338,7
7870.39995,2
6621.36078,5
6393.49222,11
6122.04075,13
3646.21878,10
6533.34856,20
7358.7656,37
4440.46259,2
4653.06044,3
6463.70649,26
5053.88975,36
3575.53959,23
7228.35064,0
4871.5353,6
7207.11946,3
4862.64229,0
5304.01468,1
5959.47504,29
6395.38765,24
3750.00238,25
5636.64436,8
5556.20193,0
6754.83942,3
6418.18047,24
6859.56478,15
3630.9123,0
6768.63194,21
4704.46348,2
5498.24238,6
5556.10657,18
7404.33931,0
6931.18572,4
7898.98634,3
7407.71294,2
3351.11618,3
6287.71782,26
4537.42743,2
6601.54819,5
4631.81734,20
4736.59039,1
6329.72717,31
5983.74605,0
4806.26822,0
4446.43497,1
3057.99246,1
5386.11412,16
5634.73701,0
7005.39351,2
5618.39342,19
3532.99379,14
6168.99729,36
6317.84201,17
7295.09592,11
6120.61024,26
6087.43429,5
6674.55196,16
6433.33197,33
5767.04741,10
6776.36862,10
5424.0346,6
6642.92574,5
4237.22267,12
3576.43366,7
4504.2038,5
6570.18423,9
6698.77529,6
7551.89657,13
2539.90889,20
6442.70182,11
6381.51169,24
3606.09293,1
6541.14485,4
3489.97116,24
6946.36106,8
7154.07133,14
5622.73264,5
5016.21962,13
6456.02942,0
6524.24097,8
3437.49523,7
3376.77002,0
4735.42213,2
6079.90026,12
5447.2208,4
6351.26829,11
7498.47889,10
5466.53271,9
4370.71323,35
4522.45474,1
7641.43467,31
5549.99113,5
7436.2874,26
5555.97544,5
7296.89598,21
5163.02586,20
4528.90396,12
5178.28465,2
6431.80609,11
7296.80061,36
6931.09035,7
2979.27856,18
7406.06785,0
7016.08658,20
6747.6511,22
3291.21351,15
2136.0755,21
6456.14862,35
3542.30404,4
6916.17727,0
5489.254,0
3005.00393,1
6163.43021,11
4676.11551,14
4709.26762,4
6753.65925,8
3627.37179,22
6759.63163,2
4736.4831,4
6756.55603,9
6249.88079,21
5969.1906,7
6417.98973,39
7893.44311,1
7318.13908,2
5510.95009,2
4075.65832,0
6621.70649,6
5531.75211,
3365.4213,15
3603.12462,0
3842.86642,0
7885.53953,5
5389.35661,6
5509.03082,3
3703.95184,0
5577.70729,1
7225.26312,1
6639.94551,14
5623.18563,3
6047.7376,28
7422.97173,22
3515.63692,18
6661.17668,3
6445.71781,23
4589.66494,5
7224.15447,3
5768.59713,20
5521.3809,8
4907.95374,5
4853.57046,14
3058.91037,4
4726.15957,9
5554.79527,11
3688.0374,4
6558.2037,4
5934.38148,4
7026.79157,0
6721.85421,10
4930.99689,22
5828.13025,6
7284.79624,3
7334.74493,29
5826.23482,29
3601.58682,28
6515.68174,4
4736.8288,0
7248.3182,2
6468.31989,1
7377.25496,4
6516.77847,8
3703.90415,0
4736.73344,3
7318.37749,11
4680.91965,27
6594.35987,25
6720.37601,6
6474.67375,6
4547.07146,1
5556.35691,0
3089.42795,9
6316.5307,17
4923.62976,7
7488.04808,15
6906.74782,0
5671.93031,3
7157.27806,3
5601.76373,5
7347.17846,0
7259.17816,4
4102.57578,1
7344.09094,3
7035.79187,1
3872.43032,18
7253.2177,
4351.23444,3
4140.65123,6
4468.40525,30
4034.0662,8
3712.28456,1
4251.32513,5
4874.71819,17
5601.84717,9
5145.07294,1
4451.62058,1
4925.11988,19
7032.82356,23
3575.87337,0
6754.98247,3
4683.9118,8
3523.43321,14
2979.26664,18
5445.63532,2
6677.78254,17
3125.11921,1
6600.23689,12
5221.12846,31
5315.06538,6
7337.76093,27
7849.29991,4
4034.07812,8
6706.5835,21
6418.34736,20
4719.97261,0
5612.65945,2
5914.24704,14
6494.43865,14
4859.9124,23
7064.95047,0
6026.86405,17
7899.27244,8
7347.09501,0
6685.32848,6
3068.20869,4
4032.58801,7
7866.21571,3
7022.46428,6
5623.09027,0
6432.13987,24
4714.03599,31
5554.89063,9
6151.02053,26
4515.36179,4
7201.34974,4
3748.85798,1
5309.12876,13
7316.48207,1
5092.21554,3
3102.33831,1
4793.13135,1
7693.09998,13
5716.9795,26
4345.36934,5
5768.94283,6
6503.47471,2
5533.52833,0
7310.50968,6
6030.17807,11
4451.50137,1
6133.47292,9
5489.50434,8
5893.2662,3
4679.26264,21
2892.16042,5
6432.04451,24
6722.21184,6
5872.08271,8
5555.14097,3
5670.29715,23
4897.72558,20
6781.05354,23
5577.48079,8
3688.01355,4
7318.29405,0
6804.21591,15
7227.39697,3
6514.07242,2
7406.30627,7
7278.80001,5
6462.66937,3
4006.77919,5
3949.92828,4
6876.9455,6
5005.55038,10
3706.24065,1
5388.05723,22
5767.30967,21
5508.20827,6
4993.64138,5
6506.69336,20
7268.44072,0
3704.7863,9
7209.06258,2
7901.03674,15
7014.82296,32
7347.4288,0
5425.75121,7
5673.42043,10
6287.7655,5
4674.80421,32
5556.24962,9
6875.41962,0
6753.89767,28
4412.36496,5
6721.75884,10
3938.61532,4
6058.90751,18
3231.26316,4
3231.27508,0
4863.16681,6
6841.90989,18
4661.0117,17
3125.0,1
6236.24325,31
5568.61162,9
3597.04494,10
6577.90899,32
4735.67247,3
6517.1361,32
4661.10706,15
6767.23719,3
5318.41516,9
7160.6636,4
3726.04132,9
7207.58438,1
5432.10506,3
3672.13488,9
6312.4299,16
6213.65309,13
3738.904,0
3564.45312,1
7206.07042,4
4282.96328,7
5981.2665,5
7289.60037,2
6708.41932,2
