Frequency,Intensity
2.000439170000000104e+03,8.814713069999999837e-06
2.000749109999999973e+03,9.399100789999999196e-06
2.001416680000000042e+03,9.184644939999999239e-06
2.001941199999999981e+03,1.548190069999999953e-05
2.002060410000000047e+03,8.647002240000000044e-06
2.002441880000000083e+03,1.162917720000000070e-05
2.003371720000000096e+03,9.049361779999999975e-06
2.003657819999999901e+03,1.022652719999999982e-05
2.004659180000000106e+03,9.021207060000000749e-06
2.005136009999999942e+03,8.714844929999999271e-06
2.006173129999999901e+03,8.775294000000000757e-06
2.006769180000000006e+03,9.215277100000000038e-06
2.006947989999999891e+03,8.230112210000000230e-06
2.007114890000000059e+03,1.321623859999999919e-05
2.007627490000000080e+03,1.005238249999999930e-05
2.007985120000000052e+03,1.779459219999999866e-05
2.008116250000000036e+03,9.902425280000000485e-06
2.008533480000000054e+03,9.276686429999999743e-06
2.008879179999999906e+03,1.745377719999999911e-05
2.009844779999999901e+03,2.695147280000000065e-05
2.010738849999999957e+03,8.542408029999999425e-06
2.010917660000000069e+03,9.680155679999999404e-06
2.011418339999999944e+03,8.875983340000000358e-06
2.011692520000000059e+03,1.060452700000000039e-05
2.011954780000000028e+03,1.053387280000000050e-05
2.012681959999999890e+03,8.706664059999999651e-06
2.013003830000000107e+03,9.031966119999999164e-06
2.013993259999999964e+03,8.228442519999999938e-06
2.014279369999999972e+03,8.955296859999999667e-06
2.015304570000000012e+03,8.928122400000000061e-06
2.015447619999999915e+03,8.264761459999999584e-06
2.015793319999999994e+03,1.095874329999999973e-05
2.016663549999999987e+03,8.943613259999999622e-06
2.017068860000000086e+03,9.972770100000000003e-06
2.017319199999999910e+03,8.224712490000000417e-06
2.018046379999999999e+03,8.205337270000000757e-06
2.019071580000000040e+03,1.011596700000000079e-05
2.019429210000000012e+03,9.308372139999999839e-06
2.021455760000000055e+03,1.038352279999999947e-05
2.022063730000000078e+03,8.576846799999999287e-06
2.022314069999999901e+03,3.046785380000000110e-05
2.022862429999999904e+03,8.321528360000000248e-06
2.023494239999999991e+03,8.345885569999999962e-06
2.024126050000000077e+03,1.229155169999999989e-05
2.024590969999999970e+03,1.313902389999999978e-05
2.024757859999999937e+03,8.215279640000000615e-06
2.025592329999999947e+03,9.986087999999999654e-06
2.025747299999999996e+03,9.832933439999999665e-06
2.026188370000000077e+03,1.470426430000000049e-05
2.026402949999999919e+03,9.048986130000000395e-06
2.026736740000000054e+03,8.313436500000000580e-06
2.026867870000000039e+03,1.043562580000000008e-05
2.027380470000000059e+03,9.920653220000000714e-06
2.028036119999999983e+03,1.119030810000000041e-05
2.028584479999999985e+03,1.216386189999999998e-05
2.028870580000000018e+03,9.975674700000000179e-06
2.029204369999999926e+03,8.274524639999999740e-06
2.029573920000000044e+03,8.317628879999999512e-06
2.030944819999999936e+03,8.474380119999999587e-06
2.031445500000000038e+03,1.003496500000000058e-05
2.033317090000000007e+03,1.048251370000000016e-05
2.033746239999999943e+03,9.881970649999999624e-06
2.033936979999999949e+03,9.661814459999999911e-06
2.034091949999999997e+03,1.072632050000000036e-05
2.035272120000000086e+03,8.213922599999999222e-06
2.036559580000000096e+03,8.417546340000000261e-06
2.037394050000000107e+03,1.048640659999999947e-05
2.037572859999999991e+03,9.282522630000000628e-06
2.038121219999999994e+03,9.533070170000000257e-06
2.038443089999999984e+03,8.299799650000000775e-06
2.038884160000000065e+03,8.972262699999999425e-06
2.038991449999999986e+03,9.066528539999999274e-06
2.039301400000000058e+03,8.148436760000000138e-06
2.039492130000000088e+03,1.023495060000000063e-05
2.039885520000000042e+03,1.198851960000000045e-05
2.039957049999999981e+03,1.077671959999999961e-05
2.040743829999999889e+03,1.318243519999999998e-05
2.040874960000000101e+03,8.373070390000000727e-06
2.041423320000000103e+03,1.091188939999999932e-05
2.042150499999999965e+03,8.610877299999999401e-06
2.042531970000000001e+03,9.475002519999999739e-06
2.044355870000000095e+03,1.122597240000000043e-05
2.044773100000000113e+03,1.090165980000000003e-05
2.044928069999999934e+03,9.018206970000000833e-06
2.046620850000000019e+03,1.375571510000000042e-05
2.046895029999999906e+03,1.204018979999999978e-05
2.048110959999999977e+03,9.743829459999999498e-06
2.048933509999999842e+03,8.528696120000000508e-06
2.049291130000000067e+03,8.252103000000000026e-06
2.049505709999999908e+03,8.935485629999999159e-06
2.049803730000000087e+03,8.137125570000000626e-06
2.050006390000000010e+03,9.028688810000000333e-06
2.050769330000000082e+03,1.191367210000000082e-05
2.051317689999999857e+03,2.298420200000000143e-05
2.051663399999999911e+03,8.571065310000000563e-06
2.051889900000000125e+03,1.289388010000000057e-05
2.052962779999999839e+03,1.081961630000000082e-05
2.053582669999999780e+03,1.316007890000000054e-05
2.054166790000000219e+03,1.025324099999999916e-05
2.054286000000000058e+03,1.096257600000000005e-05
2.054405209999999897e+03,9.284683199999999427e-06
2.054655549999999948e+03,9.032982739999999389e-06
2.055358889999999974e+03,8.987595170000000199e-06
2.055644989999999780e+03,1.391310070000000025e-05
2.055943009999999958e+03,9.177763389999999156e-06
2.056193350000000009e+03,1.210605620000000037e-05
2.057218550000000050e+03,9.169911270000000511e-06
