Frequency,Intensity
2.001953119999999899e+03,1.511273540000000068e-05
2.003300189999999930e+03,0.000000000000000000e+00
2.003645899999999983e+03,1.014906400000000065e-05
2.004063130000000001e+03,0.000000000000000000e+00
2.004480360000000019e+03,0.000000000000000000e+00
2.004814149999999927e+03,0.000000000000000000e+00
2.007699010000000044e+03,0.000000000000000000e+00
2.007818220000000110e+03,0.000000000000000000e+00
2.008438110000000052e+03,0.000000000000000000e+00
2.012872699999999895e+03,0.000000000000000000e+00
2.012991909999999962e+03,9.011478599999999485e-06
2.015829089999999951e+03,9.048937090000000379e-06
2.015972140000000081e+03,0.000000000000000000e+00
2.017664909999999963e+03,0.000000000000000000e+00
2.019441129999999930e+03,8.768920360000000182e-06
2.020525930000000017e+03,0.000000000000000000e+00
2.021479610000000093e+03,9.916518570000000074e-06
2.021861079999999902e+03,0.000000000000000000e+00
2.022576330000000098e+03,0.000000000000000000e+00
2.022767070000000103e+03,0.000000000000000000e+00
2.023935320000000047e+03,0.000000000000000000e+00
2.024483680000000049e+03,0.000000000000000000e+00
2.025020119999999906e+03,0.000000000000000000e+00
2.028238769999999931e+03,0.000000000000000000e+00
2.028846739999999954e+03,9.000917529999999511e-06
2.029263969999999972e+03,0.000000000000000000e+00
2.029466629999999896e+03,0.000000000000000000e+00
2.031803130000000010e+03,0.000000000000000000e+00
2.032065389999999979e+03,0.000000000000000000e+00
2.035307880000000068e+03,0.000000000000000000e+00
2.036738399999999956e+03,0.000000000000000000e+00
2.038478849999999966e+03,0.000000000000000000e+00
2.038788800000000037e+03,0.000000000000000000e+00
2.040755750000000035e+03,1.289885100000000042e-05
2.043282989999999927e+03,0.000000000000000000e+00
2.045869830000000093e+03,0.000000000000000000e+00
2.047431469999999990e+03,0.000000000000000000e+00
2.049386500000000069e+03,0.000000000000000000e+00
2.050077920000000177e+03,0.000000000000000000e+00
2.050769330000000082e+03,1.191367210000000082e-05
2.051460739999999987e+03,0.000000000000000000e+00
2.057981490000000122e+03,1.382972139999999961e-05
2.060532569999999851e+03,0.000000000000000000e+00
2.063047889999999825e+03,0.000000000000000000e+00
2.065300940000000082e+03,0.000000000000000000e+00
2.067506310000000212e+03,0.000000000000000000e+00
2.068984509999999773e+03,0.000000000000000000e+00
2.069103720000000067e+03,0.000000000000000000e+00
2.070319649999999911e+03,0.000000000000000000e+00
2.073359489999999823e+03,0.000000000000000000e+00
2.075195310000000063e+03,2.207905639999999947e-05
2.075469489999999951e+03,0.000000000000000000e+00
2.076649669999999787e+03,0.000000000000000000e+00
2.076780799999999999e+03,0.000000000000000000e+00
2.081298830000000180e+03,0.000000000000000000e+00
2.081966399999999794e+03,0.000000000000000000e+00
2.083110810000000129e+03,0.000000000000000000e+00
2.086448670000000220e+03,0.000000000000000000e+00
2.088069919999999911e+03,0.000000000000000000e+00
2.089869979999999941e+03,0.000000000000000000e+00
2.091336249999999836e+03,1.115071399999999978e-05
2.091741559999999936e+03,0.000000000000000000e+00
2.096760270000000219e+03,0.000000000000000000e+00
2.097225190000000111e+03,0.000000000000000000e+00
2.097606659999999920e+03,0.000000000000000000e+00
2.098822590000000218e+03,0.000000000000000000e+00
2.099299430000000029e+03,0.000000000000000000e+00
2.099502089999999953e+03,0.000000000000000000e+00
2.099835869999999886e+03,0.000000000000000000e+00
2.102422709999999825e+03,3.174674190000000213e-05
2.102792260000000169e+03,0.000000000000000000e+00
2.104198930000000018e+03,0.000000000000000000e+00
2.105808259999999791e+03,0.000000000000000000e+00
2.108073229999999967e+03,0.000000000000000000e+00
2.108860020000000077e+03,0.000000000000000000e+00
2.109479899999999816e+03,0.000000000000000000e+00
2.109897140000000036e+03,0.000000000000000000e+00
2.109980579999999918e+03,0.000000000000000000e+00
2.113115789999999834e+03,0.000000000000000000e+00
2.113914490000000114e+03,0.000000000000000000e+00
2.114462849999999889e+03,0.000000000000000000e+00
2.115142350000000079e+03,0.000000000000000000e+00
2.120947839999999815e+03,0.000000000000000000e+00
2.121198179999999866e+03,1.407905099999999972e-05
2.121329310000000078e+03,2.959212860000000038e-05
2.121400830000000042e+03,1.577799269999999974e-05
2.121722699999999804e+03,2.322623090000000120e-05
2.121865749999999935e+03,2.140142670000000049e-05
2.121984959999999774e+03,1.838213309999999994e-05
2.122175690000000031e+03,9.714299009999999903e-06
2.122461800000000039e+03,0.000000000000000000e+00
2.122688290000000052e+03,1.253956009999999987e-05
2.123057839999999942e+03,2.740969039999999855e-05
2.123165129999999863e+03,8.944986979999999688e-06
2.123332019999999829e+03,2.120390430000000117e-05
2.123475069999999960e+03,1.179132359999999929e-05
2.123677729999999883e+03,8.237218110000000355e-06
2.124023439999999937e+03,1.810954260000000122e-05
2.124631400000000212e+03,0.000000000000000000e+00
2.125012870000000021e+03,0.000000000000000000e+00
2.125167849999999817e+03,9.934728080000000152e-06
2.125525470000000041e+03,1.429866190000000028e-05
2.125692370000000210e+03,1.487985160000000023e-05
2.126121520000000146e+03,2.439381970000000001e-05
2.126169199999999819e+03,2.695275509999999901e-05
2.126336099999999988e+03,1.126801119999999949e-05
2.126693729999999960e+03,8.590845039999999883e-06
2.126789090000000215e+03,1.275076640000000005e-05
2.126872539999999844e+03,2.225572400000000003e-05
2.127134799999999814e+03,0.000000000000000000e+00
2.127325530000000072e+03,1.230719229999999926e-05
2.127647399999999834e+03,1.837718010000000108e-05
2.127766610000000128e+03,1.351570119999999931e-05
2.128028870000000097e+03,1.135633719999999943e-05
2.128267289999999775e+03,0.000000000000000000e+00
2.128469939999999951e+03,0.000000000000000000e+00
2.128851410000000214e+03,0.000000000000000000e+00
2.128982539999999972e+03,9.548832560000000328e-06
2.129423620000000028e+03,0.000000000000000000e+00
2.129542829999999867e+03,1.078281840000000017e-05
2.129876609999999800e+03,1.311703330000000004e-05
2.129983900000000176e+03,0.000000000000000000e+00
2.130234240000000227e+03,0.000000000000000000e+00
2.130377289999999903e+03,2.321812359999999973e-05
2.130508420000000115e+03,1.745370490000000069e-05
2.130794530000000123e+03,1.084755660000000024e-05
2.131235599999999977e+03,1.662402960000000106e-05
2.131378650000000107e+03,0.000000000000000000e+00
2.131640910000000076e+03,0.000000000000000000e+00
2.131831650000000081e+03,2.285052979999999969e-05
2.132058140000000094e+03,8.775241900000000229e-06
