Frequency,Intensity
2.000784869999999955e+03,9.984754860000000679e-06
2.001452449999999999e+03,1.190062610000000027e-05
2.001833920000000035e+03,9.153419509999999304e-06
2.001953119999999899e+03,1.500300339999999981e-05
2.004027370000000019e+03,9.956373779999999415e-06
2.004361149999999952e+03,8.359785540000000474e-06
2.005720139999999901e+03,8.720247480000000245e-06
2.008128169999999955e+03,9.261831699999999363e-06
2.008557319999999891e+03,9.788967480000000407e-06
2.009046080000000075e+03,8.598693249999999380e-06
2.010297780000000103e+03,8.620866289999999389e-06
2.011024949999999990e+03,1.072723490000000036e-05
2.011632920000000013e+03,8.838067680000000632e-06
2.012395860000000084e+03,1.218355110000000061e-05
2.013063429999999926e+03,8.244449490000000801e-06
2.013969419999999900e+03,8.906710810000000668e-06
2.014303210000000036e+03,8.721229250000000471e-06
2.014482019999999920e+03,1.024928219999999924e-05
2.016401290000000017e+03,1.068234780000000080e-05
2.016675469999999905e+03,1.024599890000000049e-05
2.017974850000000060e+03,1.036319750000000082e-05
2.018332480000000032e+03,1.330698689999999931e-05
2.018737789999999904e+03,1.003196919999999992e-05
2.019155029999999897e+03,1.041969109999999985e-05
2.020120619999999917e+03,1.852834030000000105e-05
2.020502089999999953e+03,9.748078480000000603e-06
2.021944520000000011e+03,9.714873460000000651e-06
2.022647860000000037e+03,9.018915429999999598e-06
2.022814750000000004e+03,1.723460559999999927e-05
2.022910120000000006e+03,9.144585640000000082e-06
2.024161820000000034e+03,3.965842359999999884e-05
2.025341989999999896e+03,1.244788260000000027e-05
2.025485040000000026e+03,8.744120930000000175e-06
2.026009559999999965e+03,8.869962259999999673e-06
2.026355270000000019e+03,9.779966489999999740e-06
2.027893070000000080e+03,1.276652319999999996e-05
2.028036119999999983e+03,8.444888879999999713e-06
2.028536800000000085e+03,1.413709990000000062e-05
2.028858660000000100e+03,8.686787510000000212e-06
2.029192450000000008e+03,8.933903430000000081e-06
2.029561999999999898e+03,9.630166770000000089e-06
2.029967309999999998e+03,9.438310879999999568e-06
2.030789849999999888e+03,1.224225049999999925e-05
2.031159400000000005e+03,8.632466440000000169e-06
2.031624319999999898e+03,1.173759300000000009e-05
2.031731610000000046e+03,1.297154890000000017e-05
2.032125000000000000e+03,9.767789419999999204e-06
2.032220360000000028e+03,8.775873810000000619e-06
2.032792570000000069e+03,9.247681869999999234e-06
2.032995220000000018e+03,9.804160580000000660e-06
2.033185960000000023e+03,1.065775380000000081e-05
2.034258839999999964e+03,1.198398700000000023e-05
2.034544939999999997e+03,2.918753130000000095e-05
2.035033699999999953e+03,9.014258060000000149e-06
2.035474780000000010e+03,9.014508009999999880e-06
2.035582069999999931e+03,9.330259729999999666e-06
2.036118510000000015e+03,8.566963709999999321e-06
2.036237720000000081e+03,8.222831180000000309e-06
2.036428450000000112e+03,1.026931769999999949e-05
2.036678789999999935e+03,9.705693350000000748e-06
2.037012580000000071e+03,8.294338879999999943e-06
2.038025859999999966e+03,8.367289689999999998e-06
2.040183539999999994e+03,1.285952219999999951e-05
2.040660380000000032e+03,8.817931300000000349e-06
2.040922640000000001e+03,1.277569539999999976e-05
2.041089529999999968e+03,8.570687119999999815e-06
2.042162420000000111e+03,1.006386370000000036e-05
2.042531970000000001e+03,8.153092409999999278e-06
2.043223379999999906e+03,8.268743270000000604e-06
2.043521400000000085e+03,8.289284489999999839e-06
2.043902869999999893e+03,1.114118529999999977e-05
2.045667169999999942e+03,1.090335899999999916e-05
2.045977120000000014e+03,8.431714700000000480e-06
2.047228810000000067e+03,1.202138010000000003e-05
2.047359940000000051e+03,8.877161539999999296e-06
2.047538759999999911e+03,1.030171989999999975e-05
2.048683169999999791e+03,8.795889799999999351e-06
2.049076559999999972e+03,9.111656859999999302e-06
2.049946780000000217e+03,1.123738880000000022e-05
2.050423620000000028e+03,8.572395290000000781e-06
2.050781250000000000e+03,1.747391619999999916e-05
2.051556109999999990e+03,1.000284259999999971e-05
2.052354809999999816e+03,8.500138580000000764e-06
2.052927020000000084e+03,1.007259399999999933e-05
2.054071429999999964e+03,8.392311240000000216e-06
2.055668830000000071e+03,1.002624149999999917e-05
2.057862279999999828e+03,9.550489849999999685e-06
2.058541769999999815e+03,8.317967159999999270e-06
2.059948440000000119e+03,9.342701059999999538e-06
2.060103419999999915e+03,8.363935100000000354e-06
2.060639860000000226e+03,8.661030669999999405e-06
2.061021330000000034e+03,1.073988860000000044e-05
2.061498169999999845e+03,9.713600240000000500e-06
2.061843870000000152e+03,8.318765540000000653e-06
2.061963079999999991e+03,1.144707350000000007e-05
2.062094210000000203e+03,8.796929350000000380e-06
2.064025399999999991e+03,1.275010619999999974e-05
2.064406869999999799e+03,8.942806319999999375e-06
2.064621450000000095e+03,9.135359539999999157e-06
2.065420149999999921e+03,1.035236500000000028e-05
2.066230770000000120e+03,8.988627220000000703e-06
2.066564559999999801e+03,8.266344220000000693e-06
2.067756649999999809e+03,8.650390239999999545e-06
2.068161959999999908e+03,9.920888659999999268e-06
2.068567280000000210e+03,8.942618020000000297e-06
2.068686490000000049e+03,9.805549129999999676e-06
2.069652079999999842e+03,9.794409390000000164e-06
2.070319649999999911e+03,1.214389359999999955e-05
2.070534230000000207e+03,1.016363110000000014e-05
2.071559429999999793e+03,8.441491539999999789e-06
2.073013780000000224e+03,8.946280320000000826e-06
2.074539659999999913e+03,8.727596509999999502e-06
2.074825760000000173e+03,2.358951849999999897e-05
